area,model,CQ1,CQ2,CQ3,CQ4
gb_rict2,physical,21.026060000000001,24.053930000000001,26.21696,32.909230000000001
gb,physical,22.361999999999998,25.471499999999999,27.688199999999998,34.528199999999998
ni,physical,18.306999999999999,21.160799999999998,23.209299999999999,29.5883
iom,physical,9.4877000000000002,11.6678,13.2767,18.466799999999999
gb,gis,27.5871,30.995000000000001,33.408700000000003,40.790199999999999
,,,,,
