-75.4619869  115.3777389   45.9859909  -39.8683919 -128.6069724   19.9540328 -146.6816420   51.5310012  -20.5404903    1.1749437
-74.8815063  115.1630570   47.7116629  -39.7144053 -130.6074098   19.9521440 -146.2273332   51.7092630  -20.8316771    1.0027066
-76.1751574  114.6421742   46.5940543  -38.7527795 -130.1493480   19.3933563 -146.0021495   51.4710959  -20.6575858    1.3515191
-76.5603122  113.0004352   45.3094140  -39.6211708 -130.1285337   20.7925538 -146.1745610   51.8162468  -20.7993003    1.3267936
-75.5442857  112.1896895   46.4446575  -40.1345799 -129.9855444   19.6968439 -145.9184972   51.5631474  -20.4332965    1.1476461
-75.1557507  115.0446924   45.5750547  -41.0842783 -130.3643770   19.5468526 -146.0370399   51.4902670  -20.7308707    1.2616145
-74.3691787  114.5359013   46.2135240  -39.8798461 -129.1402644   19.6816705 -145.5222550   51.7011351  -20.7359685    1.2102876
-72.4070093  115.6042145   46.3092359  -39.8680881 -130.3316091   19.9552814 -146.0016127   51.8097068  -20.3818300    1.3077128
-73.2520098  113.6073437   47.9066255  -40.5534149 -129.5160628   20.2799462 -146.0510377   51.4679368  -20.7091623    1.3867130
-71.8137652  112.5243427   46.1361762  -39.8404170 -129.7399161   18.9283593 -146.5327721   51.7935185  -20.8040523    1.2846853
-70.6699010  113.8625879   45.3295062  -39.1556320 -130.0746466   20.2575970 -145.9426422   51.3055765  -20.7105944    1.1448292
