EndGrpNo,Score1,Score2,Score3,Score4,Score5
1,2,1,5,0,0
2,1,0,3,1,2
3,0,0,9,1,2
4,1,0,2,4,0
5,1,0,7,4,1
6,0,0,3,6,3
7,1,0,5,9,2
8,0,0,3,2,5
9,0,0,7,1,1
10,0,1,5,1,0
11,0,0,1,3,2
